#       time         integral Re         integral Im         integral Re         integral Im
#       r =            16.000000           16.000000           32.000000           32.000000
   0.0000000   -1.6998612300e-03   -1.4167576802e-19   -1.1564218439e-02    1.7271899186e-19
   0.1000000   -1.6219550667e-03   -3.8986282862e-20   -1.1680977392e-02    2.2984196904e-19
   0.2000000   -1.5074480668e-03   -1.5298392188e-19   -1.1758603469e-02    1.7976051050e-19
   0.3000000   -1.3627679525e-03   -5.8594710807e-20   -1.1793078948e-02    8.5194567271e-21
   0.4000000   -1.1945780973e-03   -5.0012134552e-20   -1.1782268360e-02    2.7976148890e-19
   0.5000000   -1.0096613705e-03    5.4535494089e-21   -1.1725563799e-02    5.4835610306e-20
   0.6000000   -8.1482483631e-04    2.6064707507e-20   -1.1623622263e-02    1.7950600065e-19
   0.7000000   -6.1681592120e-04   -6.7275035148e-20   -1.1478167129e-02    2.4459877471e-19
   0.8000000   -4.2224072903e-04   -1.2688166816e-20   -1.1291826164e-02    3.3847979352e-19
   0.9000000   -2.3747651363e-04    3.7343965760e-20   -1.1067983614e-02    6.0476862619e-20
   1.0000000   -6.8572658129e-05    3.3014917973e-20   -1.0810630176e-02    2.2867171982e-19
   1.1000000    7.8862432216e-05   -1.7297932939e-20   -1.0524203960e-02    1.1475940931e-19
   1.2000000    1.9978779939e-04   -1.0838576037e-19   -1.0213424086e-02    8.7106798621e-20
   1.3000000    2.8986572806e-04   -4.2286788716e-20   -9.8831211799e-03    1.8533092501e-19
   1.4000000    3.4559995813e-04   -1.4386155730e-21   -9.5380741069e-03    2.1436899655e-19
   1.5000000    3.6446733359e-04   -6.8859332998e-20   -9.1828639330e-03    1.4902664727e-19
   1.6000000    3.4503267236e-04   -5.6440051356e-21   -8.8217495584e-03    1.2182401385e-19
   1.7000000    2.8703634521e-04   -2.4105569286e-21   -8.4585729762e-03    2.4658558403e-19
   1.8000000    1.9144536483e-04   -3.2532611918e-20   -8.0966993897e-03    1.8060527097e-20
   1.9000000    6.0460022028e-05   -3.1013748641e-21   -7.7389874014e-03    1.2019774657e-19
   2.0000000   -1.0252897897e-04   -6.0533196553e-20   -7.3877868200e-03   -1.3841415771e-21
   2.1000000   -2.9303473432e-04   -4.4210517139e-20   -7.0449664857e-03    1.9152945321e-19
   2.2000000   -5.0561833199e-04   -5.6349743825e-20   -6.7119358182e-03    1.4851978748e-19
   2.3000000   -7.3407816927e-04   -8.7802259426e-20   -6.3896824238e-03    1.3536479747e-19
   2.4000000   -9.7167639622e-04   -3.8967579248e-20   -6.0788189298e-03    1.3795616652e-20
   2.5000000   -1.2113924641e-03   -5.4708523695e-20   -5.7796236533e-03   -5.3404541577e-20
   2.6000000   -1.4461910757e-03   -9.7478450014e-20   -5.4920656170e-03   -3.5288747392e-20
   2.7000000   -1.6692912877e-03   -6.3421930540e-20   -5.2158272469e-03    1.7854924163e-19
   2.8000000   -1.8744234456e-03   -8.7674896042e-21   -4.9503361152e-03    1.8785610229e-19
   2.9000000   -2.0560609783e-03   -7.1903666251e-20   -4.6947929003e-03    7.2004626379e-20
   3.0000000   -2.2096159265e-03   -7.9853476736e-20   -4.4481663470e-03   -2.8127674041e-20
   3.1000000   -2.3315891034e-03   -4.9830260216e-20   -4.2092302732e-03   -1.6584985429e-20
   3.2000000   -2.4196684529e-03    1.5127361848e-21   -3.9766281923e-03   -2.3626721021e-20
   3.3000000   -2.4727722016e-03    2.6590501366e-20   -3.7489142276e-03    5.7539224426e-20
   3.4000000   -2.4910363071e-03   -2.8429843227e-20   -3.5246580986e-03    1.1462308747e-19
   3.5000000   -2.4757491927e-03   -2.5531135552e-20   -3.3025533061e-03   -1.0675581614e-19
   3.6000000   -2.4292388479e-03   -6.2337710077e-20   -3.0815098048e-03   -2.9593776983e-20
   3.7000000   -2.3547198234e-03   -4.0977018515e-20   -2.8607762476e-03   -3.2775420322e-20
   3.8000000   -2.2561093121e-03   -9.8402264811e-20   -2.6400579379e-03    4.4574022533e-20
   3.9000000   -2.1378270946e-03   -4.2504865668e-20   -2.4195838557e-03   -8.0041429881e-21
   4.0000000   -2.0045844367e-03   -7.0632948587e-20   -2.2001337902e-03    3.4870612978e-20
   4.1000000   -1.8611748314e-03   -2.8428220008e-20   -1.9830767458e-03   -4.0867870867e-20
   4.2000000   -1.7122777100e-03   -3.4480849322e-20   -1.7703671218e-03   -6.4854459220e-20
   4.3000000   -1.5622829997e-03   -8.0523715397e-20   -1.5644070943e-03    3.1116345853e-21
   4.4000000   -1.4151437858e-03   -2.9410055693e-21   -1.3679836446e-03    2.7411348144e-19
   4.5000000   -1.2742623362e-03   -4.1911876463e-20   -1.1841388733e-03   -7.9056238569e-20
   4.6000000   -1.1424110619e-03   -3.5254959851e-20   -1.0159733356e-03    2.4550092596e-20
   4.7000000   -1.0216903057e-03   -6.3794407109e-21   -8.6649847991e-04   -7.8847879630e-20
   4.8000000   -9.1352131232e-04   -4.3535189571e-20   -7.3842124035e-04   -1.2829626760e-20
   4.9000000   -8.1867169580e-04   -5.1392714064e-20   -6.3406517041e-04    1.6009913365e-20
   5.0000000   -7.3730738324e-04   -2.3579141128e-20   -5.5532804641e-04    1.9250573131e-20
   5.1000000   -6.6906516066e-04   -5.0646579001e-20   -5.0346394240e-04    7.5153133272e-20
   5.2000000   -6.1314424015e-04   -2.1228148211e-20   -4.7898611919e-04    3.2778264189e-20
   5.3000000   -5.6840643655e-04   -4.4604776680e-20   -4.8165358179e-04    1.1069627759e-19
   5.4000000   -5.3347974593e-04    4.0774699755e-22   -5.1047921426e-04   -1.2902056405e-19
   5.5000000   -5.0685982555e-04   -5.1983401430e-20   -5.6367599906e-04    7.0645567437e-20
   5.6000000   -4.8700439937e-04   -1.4605666236e-20   -6.3878392662e-04    1.0279249411e-19
   5.7000000   -4.7241653778e-04   -3.4367774788e-20   -7.3273768535e-04   -2.8121330978e-20
   5.8000000   -4.6171397877e-04   -5.5827497818e-20   -8.4199547027e-04   -2.0173702376e-20
   5.9000000   -4.5368278102e-04   -1.2930316745e-19   -9.6255598558e-04    2.8853298975e-20
   6.0000000   -4.4731401464e-04   -1.3992421596e-20   -1.0900069470e-03    6.8866381424e-20
   6.1000000   -4.4182448167e-04   -1.8412192733e-20   -1.2195801027e-03    9.2012576515e-21
   6.2000000   -4.3666175961e-04   -8.9007253342e-20   -1.3463408682e-03    7.1627650529e-20
   6.3000000   -4.3149561180e-04   -9.0942701472e-20   -1.4652147778e-03    4.5545617522e-20
   6.4000000   -4.2619823328e-04   -5.1593322718e-20   -1.5710894143e-03    8.9411284842e-20
   6.5000000   -4.2081562079e-04   -3.5905099967e-20   -1.6589413410e-03    1.2652799654e-19
   6.6000000   -4.1553279583e-04   -5.5850013020e-20   -1.7239067424e-03   -2.4056216528e-20
   6.7000000   -4.1063598431e-04   -6.5438048018e-20   -1.7613845260e-03   -2.1614715893e-20
   6.8000000   -4.0647382326e-04   -5.8562582910e-20   -1.7672769152e-03   -2.5237664589e-20
   6.9000000   -4.0341946267e-04   -3.8263537411e-20   -1.7381532642e-03    8.7182095260e-21
   7.0000000   -4.0183707869e-04   -3.0154161896e-20   -1.6714527197e-03   -8.7410890838e-20
   7.1000000   -4.0205256119e-04   -3.8962648671e-20   -1.5656379584e-03   -3.0023397098e-21
   7.2000000   -4.0432925563e-04   -3.5703442941e-20   -1.4203505511e-03    6.5729817356e-20
   7.3000000   -4.0885141196e-04   -4.4965783497e-20   -1.2364834173e-03    5.6361948418e-20
   7.4000000   -4.1571333398e-04   -5.0362202967e-20   -1.0160860676e-03    8.6793022635e-20
   7.5000000   -4.2491400108e-04   -1.4331914425e-20   -7.6265348075e-04   -1.1379706261e-19
   7.6000000   -4.3635763059e-04   -2.8134058993e-20   -4.8103412683e-04    6.0987103252e-20
   7.7000000   -4.4985891196e-04   -6.5634249050e-20   -1.7724350386e-04    4.4159613147e-20
   7.8000000   -4.6515220893e-04   -6.2505340021e-20    1.4173811135e-04   -8.1398217545e-20
   7.9000000   -4.8190386026e-04   -6.4995693602e-20    4.6824271456e-04    6.6300443988e-20
   8.0000000   -4.9972631629e-04   -4.6401964413e-20    7.9434353707e-04    6.0756675522e-20
   8.1000000   -5.1819311579e-04   -2.6053919633e-20    1.1122393049e-03    9.2201638476e-20
   8.2000000   -5.3685465357e-04   -7.0919356050e-20    1.4146073792e-03    9.3881848862e-20
   8.3000000   -5.5525402361e-04   -4.5148450646e-20    1.6948836550e-03    6.8354338056e-21
   8.4000000   -5.7294073977e-04   -1.0504149171e-19    1.9474693152e-03    1.1488219118e-19
   8.5000000   -5.8948451285e-04   -6.8700347668e-20    2.1680683575e-03    3.5023772446e-21
