#       time                 x_1                 y_1                 z_1                 x_2                 y_2                 z_2
   0.0000000    1.6000000000e+01    1.6000000000e+01    2.0000000000e+01    1.6000000000e+01    1.6000000000e+01    1.2000000000e+01
   0.2000000    1.6000000000e+01    1.6000000000e+01    1.9999917311e+01    1.6000000000e+01    1.6000000000e+01    1.2000082689e+01
   0.4000000    1.6000000000e+01    1.6000000000e+01    1.9999449264e+01    1.6000000000e+01    1.6000000000e+01    1.2000550736e+01
   0.6000000    1.6000000000e+01    1.6000000000e+01    1.9998349147e+01    1.6000000000e+01    1.6000000000e+01    1.2001650853e+01
   0.8000000    1.6000000000e+01    1.6000000000e+01    1.9996494943e+01    1.6000000000e+01    1.6000000000e+01    1.2003505057e+01
   1.0000000    1.6000000000e+01    1.6000000000e+01    1.9993856563e+01    1.6000000000e+01    1.6000000000e+01    1.2006143437e+01
   1.2000000    1.6000000000e+01    1.6000000000e+01    1.9990467176e+01    1.6000000000e+01    1.6000000000e+01    1.2009532824e+01
   1.4000000    1.6000000000e+01    1.6000000000e+01    1.9986399627e+01    1.6000000000e+01    1.6000000000e+01    1.2013600373e+01
   1.6000000    1.6000000000e+01    1.6000000000e+01    1.9981747778e+01    1.6000000000e+01    1.6000000000e+01    1.2018252222e+01
   1.8000000    1.6000000000e+01    1.6000000000e+01    1.9976612200e+01    1.6000000000e+01    1.6000000000e+01    1.2023387800e+01
   2.0000000    1.6000000000e+01    1.6000000000e+01    1.9971089729e+01    1.6000000000e+01    1.6000000000e+01    1.2028910272e+01
   2.2000000    1.6000000000e+01    1.6000000000e+01    1.9965266592e+01    1.6000000000e+01    1.6000000000e+01    1.2034733408e+01
   2.4000000    1.6000000000e+01    1.6000000000e+01    1.9959214913e+01    1.6000000000e+01    1.6000000000e+01    1.2040785086e+01
   2.6000000    1.6000000000e+01    1.6000000000e+01    1.9952992263e+01    1.6000000000e+01    1.6000000000e+01    1.2047007734e+01
   2.8000000    1.6000000000e+01    1.6000000000e+01    1.9946643613e+01    1.6000000000e+01    1.6000000000e+01    1.2053356378e+01
   3.0000000    1.6000000000e+01    1.6000000000e+01    1.9940204674e+01    1.6000000000e+01    1.6000000000e+01    1.2059795310e+01
